,,0,1,2,3
project_stage,max,,,,
restricted_to,count,36,47,42,17
restricted_to,unique,3,3,3,3
restricted_to,top,506(B),506(C),506(B),506(C)
restricted_to,freq,19,24,29,7
restricted_to,mean,,,,
restricted_to,std,,,,
restricted_to,min,,,,
restricted_to,25%,,,,
restricted_to,50%,,,,
restricted_to,75%,,,,
restricted_to,max,,,,
subtype,count,36,47,42,17
subtype,unique,4,2,1,2
subtype,top,preferred,common,preferred,1st_lien
subtype,freq,23,39,42,14
subtype,mean,,,,
subtype,std,,,,
subtype,min,,,,
subtype,25%,,,,
subtype,50%,,,,
subtype,75%,,,,
subtype,max,,,,
term_period,count,36,47,42,17
term_period,unique,2,2,2,1
term_period,top,Month(s),Year(s),Month(s),Month(s)
term_period,freq,22,39,32,17
term_period,mean,,,,
term_period,std,,,,
term_period,min,,,,
term_period,25%,,,,
term_period,50%,,,,
term_period,75%,,,,
term_period,max,,,,
type,count,36,47,42,17
type,unique,3,3,1,1
type,top,none,none,none,none
type,freq,33,43,42,17
type,mean,,,,
type,std,,,,
type,min,,,,
type,25%,,,,
type,50%,,,,
type,75%,,,,
type,max,,,,
unit_cost,count,36.0,47.0,42.0,17.0
unit_cost,unique,,,,
unit_cost,top,,,,
unit_cost,freq,,,,
unit_cost,mean,4611.733344444445,4744.68085106383,4785.738095238095,4529.411764705882
unit_cost,std,1313.114282130555,988.3689925806617,976.0779921738015,1328.422328310143
unit_cost,min,1.0,1000.0,1.0,1000.0
unit_cost,25%,5000.0,5000.0,5000.0,5000.0
unit_cost,50%,5000.0,5000.0,5000.0,5000.0
unit_cost,75%,5000.0,5000.0,5000.0,5000.0
unit_cost,max,5000.0,5000.0,5000.0,5000.0
Investment Status,count,36,47,42,17
Investment Status,unique,2,2,2,2
Investment Status,top,Unknown,Active,Active,Active
Investment Status,freq,34,40,28,9
Investment Status,mean,,,,
Investment Status,std,,,,
Investment Status,min,,,,
Investment Status,25%,,,,
Investment Status,50%,,,,
Investment Status,75%,,,,
Investment Status,max,,,,
Stage,count,36,47,42,17
Stage,unique,2,7,6,4
Stage,top,Unknown,Stabilized,Sold,Sold
Stage,freq,34,17,14,8
Stage,mean,,,,
Stage,std,,,,
Stage,min,,,,
Stage,25%,,,,
Stage,50%,,,,
Stage,75%,,,,
Stage,max,,,,
Investment Type_x,count,36,47,42,17
Investment Type_x,unique,2,1,1,3
Investment Type_x,top,Unknown,LP Equity,Preferred Equity,Senior Debt
Investment Type_x,freq,34,47,42,13
Investment Type_x,mean,,,,
Investment Type_x,std,,,,
Investment Type_x,min,,,,
Investment Type_x,25%,,,,
Investment Type_x,50%,,,,
Investment Type_x,75%,,,,
Investment Type_x,max,,,,
SeniorDebt_x,count,36.0,47.0,42.0,17.0
SeniorDebt_x,unique,,,,
SeniorDebt_x,top,,,,
SeniorDebt_x,freq,,,,
SeniorDebt_x,mean,18572209.252427183,27406968.36170213,7385391.869163199,21784718.19131925
SeniorDebt_x,std,0.0,65637808.75559461,6593235.29706789,37863871.75671026
SeniorDebt_x,min,18572209.252427183,1028400.0,252000.0,1087500.0
SeniorDebt_x,25%,18572209.252427183,4740000.0,2920791.0,4192000.0
SeniorDebt_x,50%,18572209.252427183,9825000.0,4078500.0,9500000.0
SeniorDebt_x,75%,18572209.252427183,23137500.0,11386044.5,18572209.252427183
SeniorDebt_x,max,18572209.252427183,438897000.0,24850000.0,156160000.0
Equity_x,count,36.0,47.0,42.0,17.0
Equity_x,unique,,,,
Equity_x,top,,,,
Equity_x,freq,,,,
Equity_x,mean,9543789.509803914,16838825.04255319,2291118.023809524,7293526.708189158
